Scaffold0	NW_012224401.1
Scaffold1	NW_012224402.1
Scaffold2	NW_012224403.1
Scaffold3	NW_012224404.1
Scaffold4	NW_012224405.1
Scaffold5	NW_012224406.1
Scaffold6	NW_012224407.1
Scaffold7	NW_012224408.1
Scaffold8	NW_012224409.1
Scaffold9	NW_012224410.1
Scaffold10	NW_012224411.1
Scaffold11	NW_012224412.1
Scaffold12	NW_012224413.1
Scaffold13	NW_012224414.1
Scaffold14	NW_012224415.1
Scaffold15	NW_012224416.1
Scaffold16	NW_012224417.1
Scaffold17	NW_012224418.1
Scaffold18	NW_012224419.1
Scaffold19	NW_012224420.1
Scaffold20	NW_012224421.1
Scaffold21	NW_012224422.1
Scaffold22	NW_012224423.1
Scaffold23	NW_012224424.1
Scaffold24	NW_012224425.1
Scaffold25	NW_012224426.1
Scaffold26	NW_012224427.1
Scaffold27	NW_012224428.1
Scaffold28	NW_012224429.1
Scaffold29	NW_012224430.1
Scaffold30	NW_012224431.1
Scaffold31	NW_012224432.1
Scaffold32	NW_012224433.1
Scaffold33	NW_012224434.1
Scaffold34	NW_012224435.1
Scaffold35	NW_012224436.1
Scaffold36	NW_012224437.1
Scaffold37	NW_012224438.1
Scaffold38	NW_012224439.1
Scaffold39	NW_012224440.1
Scaffold40	NW_012224441.1
Scaffold41	NW_012224442.1
Scaffold42	NW_012224443.1
Scaffold43	NW_012224444.1
Scaffold44	NW_012224445.1
Scaffold45	NW_012224446.1
Scaffold46	NW_012224447.1
Scaffold47	NW_012224448.1
Scaffold48	NW_012224449.1
Scaffold49	NW_012224450.1
Scaffold50	NW_012224451.1
Scaffold51	NW_012224452.1
Scaffold52	NW_012224453.1
Scaffold53	NW_012224454.1
Scaffold54	NW_012224455.1
Scaffold55	NW_012224456.1
Scaffold56	NW_012224457.1
Scaffold57	NW_012224458.1
Scaffold58	NW_012224459.1
Scaffold59	NW_012224460.1
Scaffold60	NW_012224461.1
Scaffold61	NW_012224462.1
Scaffold62	NW_012224463.1
Scaffold63	NW_012224464.1
Scaffold64	NW_012224465.1
Scaffold65	NW_012224466.1
Scaffold66	NW_012224467.1
Scaffold67	NW_012224468.1
Scaffold68	NW_012224469.1
Scaffold69	NW_012224470.1
Scaffold70	NW_012224471.1
Scaffold71	NW_012224472.1
Scaffold72	NW_012224473.1
Scaffold73	NW_012224474.1
Scaffold74	NW_012224475.1
Scaffold75	NW_012224476.1
Scaffold76	NW_012224477.1
Scaffold77	NW_012224478.1
Scaffold78	NW_012224479.1
Scaffold79	NW_012224480.1
Scaffold80	NW_012224481.1
Scaffold81	NW_012224482.1
Scaffold82	NW_012224483.1
Scaffold83	NW_012224484.1
Scaffold84	NW_012224485.1
Scaffold85	NW_012224486.1
Scaffold86	NW_012224487.1
Scaffold87	NW_012224488.1
Scaffold88	NW_012224489.1
Scaffold89	NW_012224490.1
Scaffold90	NW_012224491.1
Scaffold91	NW_012224492.1
Scaffold92	NW_012224493.1
Scaffold93	NW_012224494.1
Scaffold94	NW_012224495.1
Scaffold95	NW_012224496.1
Scaffold96	NW_012224497.1
Scaffold97	NW_012224498.1
Scaffold98	NW_012224499.1
Scaffold99	NW_012224500.1
Scaffold100	NW_012224501.1
Scaffold101	NW_012224502.1
Scaffold102	NW_012224503.1
Scaffold103	NW_012224504.1
Scaffold104	NW_012224505.1
Scaffold105	NW_012224506.1
Scaffold106	NW_012224507.1
Scaffold107	NW_012224508.1
Scaffold108	NW_012224509.1
Scaffold109	NW_012224510.1
Scaffold110	NW_012224511.1
Scaffold111	NW_012224512.1
Scaffold112	NW_012224513.1
Scaffold113	NW_012224514.1
Scaffold114	NW_012224515.1
Scaffold115	NW_012224516.1
Scaffold116	NW_012224517.1
Scaffold117	NW_012224518.1
Scaffold118	NW_012224519.1
Scaffold119	NW_012224520.1
Scaffold120	NW_012224521.1
Scaffold121	NW_012224522.1
Scaffold122	NW_012224523.1
Scaffold123	NW_012224524.1
Scaffold124	NW_012224525.1
Scaffold125	NW_012224526.1
Scaffold126	NW_012224527.1
Scaffold127	NW_012224528.1
Scaffold128	NW_012224529.1
Scaffold129	NW_012224530.1
Scaffold130	NW_012224531.1
Scaffold131	NW_012224532.1
Scaffold132	NW_012224533.1
Scaffold133	NW_012224534.1
Scaffold134	NW_012224535.1
Scaffold135	NW_012224536.1
Scaffold136	NW_012224537.1
Scaffold137	NW_012224538.1
Scaffold138	NW_012224539.1
Scaffold139	NW_012224540.1
Scaffold140	NW_012224541.1
Scaffold141	NW_012224542.1
Scaffold142	NW_012224543.1
Scaffold143	NW_012224544.1
Scaffold144	NW_012224545.1
Scaffold145	NW_012224546.1
Scaffold146	NW_012224547.1
Scaffold147	NW_012224548.1
Scaffold148	NW_012224549.1
Scaffold149	NW_012224550.1
Scaffold150	NW_012224551.1
Scaffold151	NW_012224552.1
Scaffold152	NW_012224553.1
Scaffold153	NW_012224554.1
Scaffold154	NW_012224555.1
Scaffold155	NW_012224556.1
Scaffold156	NW_012224557.1
Scaffold157	NW_012224558.1
Scaffold158	NW_012224559.1
Scaffold159	NW_012224560.1
Scaffold160	NW_012224561.1
Scaffold161	NW_012224562.1
Scaffold162	NW_012224563.1
Scaffold163	NW_012224564.1
Scaffold164	NW_012224565.1
Scaffold165	NW_012224566.1
Scaffold166	NW_012224567.1
Scaffold167	NW_012224568.1
Scaffold168	NW_012224569.1
Scaffold169	NW_012224570.1
Scaffold170	NW_012224571.1
Scaffold171	NW_012224572.1
Scaffold172	NW_012224573.1
Scaffold173	NW_012224574.1
Scaffold174	NW_012224575.1
Scaffold175	NW_012224576.1
Scaffold176	NW_012224577.1
Scaffold177	NW_012224578.1
Scaffold178	NW_012224579.1
Scaffold179	NW_012224580.1
Scaffold180	NW_012224581.1
Scaffold181	NW_012224582.1
Scaffold182	NW_012224583.1
Scaffold183	NW_012224584.1
Scaffold184	NW_012224585.1
Scaffold185	NW_012224586.1
Scaffold186	NW_012224587.1
Scaffold187	NW_012224588.1
Scaffold188	NW_012224589.1
Scaffold189	NW_012224590.1
Scaffold190	NW_012224591.1
Scaffold191	NW_012224592.1
Scaffold192	NW_012224593.1
Scaffold193	NW_012224594.1
Scaffold194	NW_012224595.1
Scaffold195	NW_012224596.1
Scaffold196	NW_012224597.1
Scaffold197	NW_012224598.1
Scaffold198	NW_012224599.1
Scaffold199	NW_012224600.1
Scaffold200	NW_012224601.1
Scaffold201	NW_012224602.1
Scaffold202	NW_012224603.1
Scaffold203	NW_012224604.1
Scaffold204	NW_012224605.1
Scaffold205	NW_012224606.1
Scaffold206	NW_012224607.1
Scaffold207	NW_012224608.1
Scaffold208	NW_012224609.1
Scaffold209	NW_012224610.1
Scaffold210	NW_012224611.1
Scaffold211	NW_012224612.1
Scaffold212	NW_012224613.1
Scaffold213	NW_012224614.1
Scaffold214	NW_012224615.1
Scaffold215	NW_012224616.1
Scaffold216	NW_012224617.1
Scaffold217	NW_012224618.1
Scaffold218	NW_012224619.1
Scaffold219	NW_012224620.1
Scaffold220	NW_012224621.1
Scaffold221	NW_012224622.1
Scaffold222	NW_012224623.1
Scaffold223	NW_012224624.1
Scaffold224	NW_012224625.1
Scaffold225	NW_012224626.1
Scaffold226	NW_012224627.1
Scaffold227	NW_012224628.1
Scaffold228	NW_012224629.1
Scaffold229	NW_012224630.1
Scaffold230	NW_012224631.1
Scaffold231	NW_012224632.1
Scaffold232	NW_012224633.1
Scaffold233	NW_012224634.1
Scaffold234	NW_012224635.1
Scaffold235	NW_012224636.1
Scaffold236	NW_012224637.1
Scaffold237	NW_012224638.1
Scaffold238	NW_012224639.1
Scaffold239	NW_012224640.1
Scaffold240	NW_012224641.1
Scaffold241	NW_012224642.1
Scaffold242	NW_012224643.1
Scaffold243	NW_012224644.1
Scaffold244	NW_012224645.1
Scaffold245	NW_012224646.1
Scaffold246	NW_012224647.1
Scaffold247	NW_012224648.1
Scaffold248	NW_012224649.1
Scaffold249	NW_012224650.1
Scaffold250	NW_012224651.1
Scaffold251	NW_012224652.1
Scaffold252	NW_012224653.1
Scaffold253	NW_012224654.1
Scaffold254	NW_012224655.1
Scaffold255	NW_012224656.1
Scaffold256	NW_012224657.1
Scaffold257	NW_012224658.1
Scaffold258	NW_012224659.1
Scaffold259	NW_012224660.1
Scaffold260	NW_012224661.1
Scaffold261	NW_012224662.1
Scaffold262	NW_012224663.1
Scaffold263	NW_012224664.1
Scaffold264	NW_012224665.1
Scaffold265	NW_012224666.1
Scaffold266	NW_012224667.1
Scaffold267	NW_012224668.1
Scaffold268	NW_012224669.1
Scaffold269	NW_012224670.1
Scaffold270	NW_012224671.1
Scaffold271	NW_012224672.1
Scaffold272	NW_012224673.1
Scaffold273	NW_012224674.1
Scaffold274	NW_012224675.1
Scaffold275	NW_012224676.1
Scaffold276	NW_012224677.1
Scaffold277	NW_012224678.1
Scaffold278	NW_012224679.1
Scaffold279	NW_012224680.1
Scaffold280	NW_012224681.1
Scaffold281	NW_012224682.1
Scaffold282	NW_012224683.1
Scaffold283	NW_012224684.1
Scaffold284	NW_012224685.1
Scaffold285	NW_012224686.1
Scaffold286	NW_012224687.1
Scaffold287	NW_012224688.1
Scaffold288	NW_012224689.1
Scaffold289	NW_012224690.1
Scaffold290	NW_012224691.1
Scaffold291	NW_012224692.1
Scaffold292	NW_012224693.1
Scaffold293	NW_012224694.1
Scaffold294	NW_012224695.1
Scaffold295	NW_012224696.1
Scaffold296	NW_012224697.1
Scaffold297	NW_012224698.1
Scaffold298	NW_012224699.1
Scaffold299	NW_012224700.1
Scaffold300	NW_012224701.1
Scaffold301	NW_012224702.1
Scaffold302	NW_012224703.1
Scaffold303	NW_012224704.1
Scaffold304	NW_012224705.1
Scaffold305	NW_012224706.1
Scaffold306	NW_012224707.1
Scaffold307	NW_012224708.1
Scaffold308	NW_012224709.1
Scaffold309	NW_012224710.1
Scaffold310	NW_012224711.1
Scaffold311	NW_012224712.1
Scaffold312	NW_012224713.1
Scaffold313	NW_012224714.1
Scaffold314	NW_012224715.1
Scaffold315	NW_012224716.1
Scaffold316	NW_012224717.1
Scaffold317	NW_012224718.1
Scaffold318	NW_012224719.1
Scaffold319	NW_012224720.1
Scaffold320	NW_012224721.1
Scaffold321	NW_012224722.1
Scaffold322	NW_012224723.1
Scaffold323	NW_012224724.1
Scaffold324	NW_012224725.1
Scaffold325	NW_012224726.1
Scaffold326	NW_012224727.1
Scaffold327	NW_012224728.1
Scaffold328	NW_012224729.1
Scaffold329	NW_012224730.1
Scaffold330	NW_012224731.1
Scaffold331	NW_012224732.1
Scaffold332	NW_012224733.1
Scaffold333	NW_012224734.1
Scaffold334	NW_012224735.1
